Date,PredictedSales
2011-12-10,32397.428355935554
2011-12-11,32413.4086215969
2011-12-12,32429.38888725825
2011-12-13,32445.3691529196
2011-12-14,32461.349418580947
2011-12-15,32477.329684242297
2011-12-16,32493.309949903647
2011-12-17,32509.290215564994
2011-12-18,32525.270481226344
2011-12-19,32541.250746887694
2011-12-20,32557.23101254904
2011-12-21,32573.21127821039
2011-12-22,32589.19154387174
2011-12-23,32605.171809533087
2011-12-24,32621.152075194437
2011-12-25,32637.132340855787
2011-12-26,32653.112606517134
2011-12-27,32669.092872178484
2011-12-28,32685.073137839834
2011-12-29,32701.05340350118
2011-12-30,32717.033669162534
2011-12-31,32733.01393482388
2012-01-01,32748.994200485227
2012-01-02,32764.97446614658
2012-01-03,32780.95473180793
2012-01-04,32796.934997469274
2012-01-05,32812.91526313063
2012-01-06,32828.895528791974
2012-01-07,32844.87579445333
2012-01-08,32860.856060114675
